BOROUGH,LATITUDE,LONGITUDE,HOUR,DAY_OF_WEEK,MONTH,IS_WEEKEND,IS_RUSH_HOUR,CONTRIBUTING FACTOR VEHICLE 1,VEHICLE TYPE CODE 1,TARGET
QUEENS,40.742413,-73.87142,14,3,10,0,0,Traffic Control Disregarded,Station Wagon/Sport Utility Vehicle,1
STATEN ISLAND,40.56029,-74.165924,16,4,10,0,1,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.746742,-73.97275,22,4,3,0,0,Driver Inattention/Distraction,Bike,0
BROOKLYN,40.6763291,-73.8654621,7,4,12,0,1,Unspecified,PASSENGER VEHICLE,0
MANHATTAN,40.7560353,-73.9869481,11,6,11,1,0,Passenger Distraction,PASSENGER VEHICLE,0
QUEENS,40.6846108,-73.7998627,12,0,7,0,0,Unspecified,SPORT UTILITY / STATION WAGON,1
QUEENS,40.725258,-73.83936,19,1,1,0,0,,,0
BROOKLYN,40.62368,-73.99772,9,5,3,1,1,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.7472362,-73.9933594,1,4,2,0,0,Unspecified,TAXI,0
BROOKLYN,40.6697365,-73.9310327,19,3,3,0,0,Unspecified,PASSENGER VEHICLE,0
BROOKLYN,40.659058,-73.91095,19,2,5,0,0,Unspecified,4 dr sedan,0
QUEENS,40.758392,-73.781456,17,0,1,0,1,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.7615508,-73.9665842,19,4,7,0,0,Unspecified,UNKNOWN,0
BRONX,40.8479083,-73.9035659,21,5,2,1,0,Driver Inattention/Distraction,TAXI,0
,,,14,0,2,0,0,Unspecified,PASSENGER VEHICLE,0
QUEENS,40.721596,-73.876465,16,5,4,1,1,Traffic Control Disregarded,Box Truck,1
BROOKLYN,40.58975,-73.960556,18,5,1,1,1,,,0
,40.62841,-73.97484,15,4,1,0,0,Failure to Yield Right-of-Way,Sedan,1
BROOKLYN,40.634117,-73.94588,11,6,5,1,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
STATEN ISLAND,40.5223655,-74.2167331,10,1,7,0,0,Failure to Yield Right-of-Way,PASSENGER VEHICLE,0
,,,19,2,10,0,0,Driver Inattention/Distraction,Skateboard,1
STATEN ISLAND,40.5293737,-74.1613509,22,2,12,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0
,40.818504,-73.91448,0,3,2,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
QUEENS,40.75333,-73.70682,16,1,12,0,1,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
,40.701366,-73.79188,21,6,12,1,0,Driver Inattention/Distraction,,0
BROOKLYN,40.665993,-73.8858,0,0,9,0,0,,,0
BROOKLYN,40.5961601,-73.9610281,14,1,7,0,0,Failure to Yield Right-of-Way,PASSENGER VEHICLE,0
QUEENS,40.7309325,-73.8645761,14,3,12,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0
MANHATTAN,40.7673924,-73.9823647,2,3,12,0,0,Traffic Control Disregarded,TAXI,0
BROOKLYN,40.61265,-73.96187,14,4,11,0,0,Unspecified,Sedan,0
BROOKLYN,40.6689572,-73.8980209,15,5,7,1,0,Unspecified,PICK-UP TRUCK,1
QUEENS,40.76138,-73.81044,7,3,1,0,1,Failure to Yield Right-of-Way,Sedan,0
BRONX,40.832645,-73.85122,8,1,4,0,1,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
QUEENS,40.7457972,-73.8838429,16,0,5,0,1,Unspecified,PASSENGER VEHICLE,0
BROOKLYN,40.67922,-73.90405,21,5,8,1,0,Driver Inattention/Distraction,Sedan,0
QUEENS,40.7343762,-73.8734167,19,5,8,1,0,Unspecified,PASSENGER VEHICLE,0
BROOKLYN,40.7260613,-73.9398064,22,3,2,0,0,Failure to Yield Right-of-Way,UNKNOWN,0
BRONX,40.855167,-73.86771,18,5,5,1,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Sedan,0
,40.67295,-73.92517,12,4,7,0,0,Other Vehicular,Sedan,0
,,,11,2,9,0,0,Reaction to Uninvolved Vehicle,Sedan,0
MANHATTAN,40.80213,-73.96185,0,3,1,0,0,Unspecified,Taxi,0
,,,19,6,1,1,0,Unspecified,Sedan,0
BRONX,40.833286,-73.914085,4,4,4,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Taxi,0
BROOKLYN,40.67657,-73.9008,22,5,6,1,0,Unspecified,Station Wagon/Sport Utility Vehicle,0
